author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
BE HOME;https://spb.cian.ru/sale/flat/290865493/;Санкт-Петербург;sale;flat;19;22;2;78.3;25000000;Приморский;Лыжный переулок;Беговая;Медный всадник
LEGENDA Intelligent Development;https://spb.cian.ru/sale/flat/292591116/;Санкт-Петербург;sale;flat;2;10;2;56.58;17268216;Выборгский;Сампсониевское;Выборгская;Сампсониевский 32
ID 894298;https://spb.cian.ru/sale/flat/287907802/;Санкт-Петербург;sale;flat;10;11;2;110.0;34900000;Петроградский;Ждановская;Чкаловская;Премьер Палас
Fizika Development;https://spb.cian.ru/sale/flat/290296648/;Санкт-Петербург;sale;flat;7;12;2;73.1;27047000;Московский;Заставская;;Клубный дом TALENTO
Илья Мерчук;https://spb.cian.ru/sale/flat/289190178/;Санкт-Петербург;sale;flat;5;8;2;59.0;16800000;Центральный;Херсонская;Площадь Александра Невского;Апарт-отель Yard Residence
Унистрой;https://spb.cian.ru/sale/flat/277296393/;Санкт-Петербург;sale;flat;2;10;2;76.5;19020000;Красногвардейский;Большая Охта;;Юпоинт ЖК
Татьяна Виноградова;https://spb.cian.ru/sale/flat/274823858/;Санкт-Петербург;sale;flat;2;15;2;57.23;18000000;Красногвардейский;Магнитогорская;Новочеркасская;Magnifika Lifestyle
Группа Эталон;https://spb.cian.ru/sale/flat/292270944/;Санкт-Петербург;sale;flat;10;10;2;50.0;17050073;Калининский;Финляндский;Выборгская;iLona
BEYOND. ex-Engel  Volkers;https://spb.cian.ru/sale/flat/287439412/;Санкт-Петербург;sale;flat;1;4;2;151.6;173893083;Петроградский;Чкаловское;Черная речка;Резиденция на Каменном
Группа Аквилон;https://spb.cian.ru/sale/flat/281273445/;Санкт-Петербург;sale;flat;3;17;2;74.7;19224481;Адмиралтейский;Парфеновская;Фрунзенская;ARTквартал. Аквилон
ID 84977649;https://spb.cian.ru/sale/flat/291793880/;Санкт-Петербург;sale;flat;11;24;2;57.0;14000000;Калининский;Бутлерова;Академическая;
Группа Аквилон;https://spb.cian.ru/sale/flat/286446453/;Санкт-Петербург;sale;flat;7;12;2;56.68;13446066;Московский;Звёздное;Звездная;Триумф Парк ЖК
Экотон;https://spb.cian.ru/sale/flat/290462338/;Санкт-Петербург;sale;flat;1;5;2;42.5;7300000;Московский;Краснопутиловская;Московская;
GloraX;https://spb.cian.ru/sale/flat/292052403/;Санкт-Петербург;sale;flat;2;9;2;59.29;14879999;Адмиралтейский;Шкапина;Балтийская;GloraX Балтийская
BEYOND. ex-Engel  Volkers;https://spb.cian.ru/sale/flat/285457375/;Санкт-Петербург;sale;flat;2;9;2;93.4;49000000;Центральный;10-я Советская;Площадь Восстания;VEREN PLACE советская
Арсенал-Недвижимость;https://spb.cian.ru/sale/flat/275720381/;Санкт-Петербург;sale;flat;11;12;2;61.83;17027982;Приморский;Плесецкая;Комендантский проспект;Ariosto!
ID 82651987;https://spb.cian.ru/sale/flat/290354460/;Санкт-Петербург;sale;flat;4;5;2;83.2;22900000;Центральный;Малая Морская;Адмиралтейская;
Element Development;https://spb.cian.ru/sale/flat/289559436/;Санкт-Петербург;sale;flat;2;5;2;61.77;18061548;Курортный;;Беговая;Bereg Курортный ЖК
Экотон;https://spb.cian.ru/sale/flat/276783645/;Санкт-Петербург;sale;flat;3;25;2;72.5;17000000;Невский;Обуховский;Пролетарская;Молодежный
Element Development;https://spb.cian.ru/sale/flat/287028832/;Санкт-Петербург;sale;flat;2;11;2;53.7;19919750;Московский;Ломаная;Московские ворота;Коллекционный Дом 1919
Экотон;https://spb.cian.ru/sale/flat/292678256/;Санкт-Петербург;sale;flat;3;5;2;44.9;6500000;Калининский;Пискарёвка;Академическая;
LEGENDA Intelligent Development;https://spb.cian.ru/sale/flat/283761392/;Санкт-Петербург;sale;flat;1;9;2;62.43;21438462;Красногвардейский;Малая Охта;Новочеркасская;Малоохтинский 68 ЖК
Экотон;https://spb.cian.ru/sale/flat/292678261/;Санкт-Петербург;sale;flat;1;9;2;52.5;9600000;Василеостровский;Кораблестроителей;Приморская;
СЕНАТОР;https://spb.cian.ru/sale/flat/283858972/;Санкт-Петербург;sale;flat;3;11;2;61.6;13634240;Невский;Народный;Пролетарская;Панорама Невы
Экотон;https://spb.cian.ru/sale/flat/291773231/;Санкт-Петербург;sale;flat;4;5;2;44.0;6300000;Красногвардейский;Камышинская;Ладожская;
Интеском;https://spb.cian.ru/sale/flat/281600971/;Санкт-Петербург;sale;flat;1;5;2;68.03;14238679;Выборгский;Береговая;Проспект Просвещения;Loft у Озера
Экотон;https://spb.cian.ru/sale/flat/291396724/;Санкт-Петербург;sale;flat;2;15;2;73.5;27000000;Московский;Заозерная;Фрунзенская;Time Дом у Московского
Рикэл;https://spb.cian.ru/sale/flat/292061877/;Санкт-Петербург;sale;flat;18;25;2;77.9;16096300;Калининский;Прометей;Гражданский проспект;Эврика
Экотон;https://spb.cian.ru/sale/flat/291673072/;Санкт-Петербург;sale;flat;5;5;2;45.0;6100000;Петродворцовый;Озерковая;Проспект Ветеранов;
РСТИ;https://spb.cian.ru/sale/flat/278767272/;Санкт-Петербург;sale;flat;10;13;2;59.4;17481310;Приморский;Студенческая;Лесная;Terra
Владис Центральный;https://spb.cian.ru/sale/flat/278047145/;Санкт-Петербург;sale;flat;7;8;2;42.0;6050000;Невский;Седова;Ломоносовская;
LEGENDA Intelligent Development;https://spb.cian.ru/sale/flat/290550432/;Санкт-Петербург;sale;flat;3;10;2;53.98;18353200;Приморский;Старобельская;Черная речка;
Татьяна Виноградова;https://spb.cian.ru/sale/flat/292671960/;Санкт-Петербург;sale;flat;2;13;2;57.2;17800000;Красногвардейский;Магнитогорская;Новочеркасская;Magnifika Lifestyle
;https://spb.cian.ru/sale/flat/292601339/;Санкт-Петербург;sale;flat;5;9;2;67.4;18550434;Выборгский;Александра Матросова;Лесная;Притяжение
Владис Центральный;https://spb.cian.ru/sale/flat/292150572/;Санкт-Петербург;sale;flat;5;10;2;74.4;16300000;Выборгский;Сосновское;Озерки;
Euroinvest Development;https://spb.cian.ru/sale/flat/275655389/;Санкт-Петербург;sale;flat;10;11;2;57.58;18903514;Московский;Сызранская;Электросила;iD Park Pobedy
Владис Центральный;https://spb.cian.ru/sale/flat/292798710/;Санкт-Петербург;sale;flat;9;9;2;49.45;7499999;Приморский;Комендантский аэродром;Пионерская;
Красная Стрела;https://spb.cian.ru/sale/flat/291703817/;Санкт-Петербург;sale;flat;2;9;2;65.2;19481760;Василеостровский;Васильевский;Василеостровская;Регенбоген
Владис Центральный;https://spb.cian.ru/sale/flat/280658681/;Санкт-Петербург;sale;flat;3;9;2;49.4;7450000;Петродворцовый;Блан-Менильская;;
GloraX;https://spb.cian.ru/sale/flat/279506976/;Санкт-Петербург;sale;flat;3;20;2;86.4;22339999;Василеостровский;Челюскина;Приморская;Golden City
Владис Центральный;https://spb.cian.ru/sale/flat/292029210/;Санкт-Петербург;sale;flat;18;24;2;57.7;15000000;Красногвардейский;Полюстрово;Выборгская;Екатерининский
Красная стрела;https://spb.cian.ru/sale/flat/268560182/;Санкт-Петербург;sale;flat;7;7;2;54.7;24300000;Адмиралтейский;Звенигородская;Звенигородская;Артхаус
Владис Центральный;https://spb.cian.ru/sale/flat/287589708/;Санкт-Петербург;sale;flat;3;18;2;59.3;8750000;Красногвардейский;Полюстрово;Девяткино;Новая Охта
LEGENDA Intelligent Development;https://spb.cian.ru/sale/flat/290995379/;Санкт-Петербург;sale;flat;6;7;2;70.14;25288276;Приморский;Чёрная речка;Черная речка;
Владис Центральный;https://spb.cian.ru/sale/flat/290674056/;Санкт-Петербург;sale;flat;2;21;2;62.0;8500000;Пушкинский;проспект Новгородский;;Шушары
Element Development;https://spb.cian.ru/sale/flat/287048749/;Санкт-Петербург;sale;flat;3;25;2;72.92;25846494;Московский;Алтайская;Московская;Шепилевский
Владис Центральный;https://spb.cian.ru/sale/flat/290927569/;Санкт-Петербург;sale;flat;1;10;2;57.0;10600000;Приморский;Камышовая;Комендантский проспект;
BONAVA;https://spb.cian.ru/sale/flat/282551784/;Санкт-Петербург;sale;flat;8;12;2;77.6;29297364;Красногвардейский;Магнитогорская;Новочеркасская;Magnifika Residence
Владис Центральный;https://spb.cian.ru/sale/flat/290807987/;Санкт-Петербург;sale;flat;19;25;2;55.0;12600000;Приморский;Лидии Зверевой;Комендантский проспект;Шуваловский
LEGENDA Intelligent Development;https://spb.cian.ru/sale/flat/291378972/;Санкт-Петербург;sale;flat;7;9;2;63.71;31326207;Василеостровский;20-я Васильевского острова линия;Василеостровская;
BEYOND. ex-Engel  Volkers;https://spb.cian.ru/sale/flat/285457402/;Санкт-Петербург;sale;flat;6;10;2;71.4;25000000;Василеостровский;Остров Декабристов;Приморская;Docklands 2
LEGENDA Intelligent Development;https://spb.cian.ru/sale/flat/292057419/;Санкт-Петербург;sale;flat;9;20;2;124.3;38905900;Выборгский;Светлановское;Площадь Мужества;
Владис Центральный;https://spb.cian.ru/sale/flat/290298221/;Санкт-Петербург;sale;flat;14;22;2;62.6;15500000;Приморский;Лыжный переулок;Беговая;Геометрия
УК АМ;https://spb.cian.ru/sale/flat/286636955/;Санкт-Петербург;sale;flat;2;10;2;33.0;13196700;Центральный;Смольнинское;Площадь Александра Невского;Апартаменты VIDI
Владис Центральный;https://spb.cian.ru/sale/flat/281146312/;Санкт-Петербург;sale;flat;3;5;2;53.5;13790000;Красногвардейский;Пугачева;Маяковская;
Арсенал-Недвижимость;https://spb.cian.ru/sale/flat/266867355/;Санкт-Петербург;sale;flat;3;12;2;61.98;16567254;Приморский;Юнтолово;Комендантский проспект;Modum
Владис Центральный;https://spb.cian.ru/sale/flat/291043117/;Санкт-Петербург;sale;flat;11;11;2;71.06;19900000;Московский;Сызранская;Электросила;iD Park Pobedy
;https://spb.cian.ru/sale/flat/282803567/;Санкт-Петербург;sale;flat;2;10;2;84.3;22350543;Выборгский;Манчестерская;Удельная;Svetlana Park
HOME INVEST;https://spb.cian.ru/sale/flat/292249379/;Санкт-Петербург;sale;flat;8;12;2;60.2;10900000;Красносельский;Сосновая поляна;Проспект Ветеранов;Солнечный город
ГлавстройСПб;https://spb.cian.ru/sale/flat/290310130/;Санкт-Петербург;sale;flat;1;17;2;38.4;6942720;Приморский;Ивинская;Зенит;Юнтолово
BEYOND. ex-Engel  Volkers;https://spb.cian.ru/sale/flat/285457456/;Санкт-Петербург;sale;flat;3;10;2;78.8;38800000;Центральный;Кирочная;Чернышевская;Монополист
ГлавстройСПб;https://spb.cian.ru/sale/flat/292792082/;Санкт-Петербург;sale;flat;2;23;2;52.38;8181757;Приморский;Лахта-Ольгино;Зенит;ПАРК-КВАРТАЛ
BEYOND. ex-Engel  Volkers;https://spb.cian.ru/sale/flat/292047743/;Санкт-Петербург;sale;flat;1;5;2;101.6;80817574;Петроградский;Чкаловское;Крестовский остров;"Комплекс резиденций ""Императорский Яхтъ-клуб"""
ФСК;https://spb.cian.ru/sale/flat/292137383/;Санкт-Петербург;sale;flat;1;5;2;56.39;10242482;Пушкинский;;Шушары;Ап-квартал Пушкинский ЖК
BR Group;https://spb.cian.ru/sale/flat/291464330/;Санкт-Петербург;sale;flat;3;5;2;43.3;10000000;Василеостровский;27-я Васильевского острова линия;Горный институт;
БФА-Девелопмент;https://spb.cian.ru/sale/flat/292585367/;Санкт-Петербург;sale;flat;9;20;2;58.32;12623000;Красносельский;Маршала Захарова;Автово;Огни Залива
BR Group;https://spb.cian.ru/sale/flat/291058898/;Санкт-Петербург;sale;flat;18;24;2;51.3;10700000;Приморский;Плесецкая;Комендантский проспект;Ultra City
Прагма;https://spb.cian.ru/sale/flat/284623452/;Санкт-Петербург;sale;flat;5;23;2;61.5;12264487;Выборгский;дорога Ольгинская;Парнас;Прагма city
ID 26288953;https://spb.cian.ru/sale/flat/293023726/;Санкт-Петербург;sale;flat;7;18;2;63.7;9349000;Красносельский;Южно-Приморский;Ленинский проспект;
Лидер Групп;https://spb.cian.ru/sale/flat/288551874/;Санкт-Петербург;sale;flat;12;19;2;61.76;16675200;Московский;Гагаринское;Московская;Дефанс ЖК
BR Group;https://spb.cian.ru/sale/flat/291971562/;Санкт-Петербург;sale;flat;7;7;2;60.0;9990000;Калининский;Лабораторная;Лесная;
;https://spb.cian.ru/sale/flat/271540908/;Санкт-Петербург;sale;flat;11;14;2;64.04;17357121;Приморский;Чёрная речка;Лесная;Черная Речка ЖК
МетрУМ;https://spb.cian.ru/sale/flat/292037727/;Санкт-Петербург;sale;flat;4;11;2;59.3;15900000;Московский;Решетникова;Электросила;iD Park Pobedy
Прагма;https://spb.cian.ru/sale/flat/284960624/;Санкт-Петербург;sale;flat;2;25;2;93.2;17700000;Приморский;Богатырский проспект;Комендантский проспект;Северная регата
BR Group;https://spb.cian.ru/sale/flat/291065230/;Санкт-Петербург;sale;flat;6;9;2;45.5;7800000;Красногвардейский;Ржевка;;
ЛСР. Недвижимость;https://spb.cian.ru/sale/flat/246160725/;Санкт-Петербург;sale;flat;3;23;2;62.9;14007830;Невский;Невский;Елизаровская;Цивилизация на Неве
BR Group;https://spb.cian.ru/sale/flat/277816298/;Санкт-Петербург;sale;flat;13;16;2;58.5;10400000;Невский;Славянская;;Живи! в Рыбацком
Лидер Групп;https://spb.cian.ru/sale/flat/286951200/;Санкт-Петербург;sale;flat;2;12;2;39.02;5345740;Пушкинский;Жилой Аэросити 4 кв-л;Купчино;Аэросити 4
BR Group;https://spb.cian.ru/sale/flat/292012468/;Санкт-Петербург;sale;flat;3;6;2;89.4;37500000;Адмиралтейский;Галерная;Василеостровская;Голландия
ГлавстройСПб;https://spb.cian.ru/sale/flat/292829278/;Санкт-Петербург;sale;flat;1;25;2;41.16;6881952;Выборгский;Заречная;Парнас;Северная долина
BR Group;https://spb.cian.ru/sale/flat/292004152/;Санкт-Петербург;sale;flat;8;18;2;58.0;15900000;Адмиралтейский;Измайловское;Балтийская;Квартал Галактика
ЛСР. Недвижимость;https://spb.cian.ru/sale/flat/292101204/;Санкт-Петербург;sale;flat;1;19;2;45.66;7237110;Красногвардейский;Полюстрово;Гражданский проспект;Ручьи ЖК
ID 104592760;https://spb.cian.ru/sale/flat/289168650/;Санкт-Петербург;sale;flat;5;5;2;63.8;10490000;Приморский;Лахта-Ольгино;Беговая;Юнтолово
ФСК;https://spb.cian.ru/sale/flat/291632470/;Санкт-Петербург;sale;flat;2;14;2;54.78;7392341;Невский;Невский;Улица Дыбенко;Зум на Неве ЖК
МетрУМ;https://spb.cian.ru/sale/flat/289871014/;Санкт-Петербург;sale;flat;2;6;2;76.0;55000000;Петроградский;Петровский;Спортивная;"Элитный комплекс ""ROYAL PARK"""
Лидер Групп;https://spb.cian.ru/sale/flat/286945389/;Санкт-Петербург;sale;flat;3;12;2;48.82;7811200;Пушкинский;;Купчино;Аэросити 3 ЖК
BEYOND. ex-Engel  Volkers;https://spb.cian.ru/sale/flat/286342869/;Санкт-Петербург;sale;flat;2;5;2;110.4;222000000;Петроградский;Чкаловское;Крестовский остров;"Комплекс резиденций ""Императорский Яхтъ-клуб"""
GloraX;https://spb.cian.ru/sale/flat/291702680/;Санкт-Петербург;sale;flat;2;15;2;51.74;8169999;Выборгский;Пригородный тер.;Проспект Просвещения;GloraX Парголово
МИР недвижимости;https://spb.cian.ru/sale/flat/282047371/;Санкт-Петербург;sale;flat;10;10;2;49.9;10950000;Приморский;Долгоозерная;;
ЛСР. Недвижимость;https://spb.cian.ru/sale/flat/276663768/;Санкт-Петербург;sale;flat;1;25;2;56.6;8883936;Красногвардейский;Чарушинская;Девяткино;Цветной Город
SaFri;https://spb.cian.ru/sale/flat/292437313/;Санкт-Петербург;sale;flat;9;14;2;61.2;13600000;Московский;Новоизмайловское;Звездная;Полис на Московской
;https://spb.cian.ru/sale/flat/292788653/;Санкт-Петербург;sale;flat;1;4;2;49.26;8850231;Пушкинский;Детскосельский тер.;Шушары;Univer City. Город возможностей
ID 103692468;https://spb.cian.ru/sale/flat/288092489/;Санкт-Петербург;sale;flat;2;8;2;104.0;32500000;Петроградский;Всеволода Вишневского;Петроградская;
VEREN GROUP;https://spb.cian.ru/sale/flat/285685115/;Санкт-Петербург;sale;flat;2;3;2;39.2;9329600;Петродворцовый;Красносельское шоссе;Автово;Veren Village Стрельна
МИР недвижимости;https://spb.cian.ru/sale/flat/282861962/;Санкт-Петербург;sale;flat;7;14;2;42.7;11400000;Василеостровский;Гавань;Приморская;Морская Набережная ЖК
City Solutions;https://spb.cian.ru/sale/flat/292760247/;Санкт-Петербург;sale;flat;6;6;2;34.4;9263817;Адмиралтейский;Измайловское;Балтийская;
НАШ ГОРОД;https://spb.cian.ru/sale/flat/287955096/;Санкт-Петербург;sale;flat;8;14;2;54.8;14500000;Приморский;Белоостровская;Лесная;ЦДС Черная речка
Шельф;https://spb.cian.ru/sale/flat/268907786/;Санкт-Петербург;sale;flat;18;26;2;55.2;9384000;Пушкинский;проспект Новгородский;Шушары;Simple
PRO.Flat;https://spb.cian.ru/sale/flat/293037619/;Санкт-Петербург;sale;flat;15;18;2;57.8;8300000;Красногвардейский;Полюстрово;Гражданский проспект;Новая Охта
;https://spb.cian.ru/sale/flat/287704217/;Санкт-Петербург;sale;flat;1;5;2;51.87;9600312;Московский;Пулковский меридиан;Звездная;Парадный ансамбль ЖК
M-Union;https://spb.cian.ru/sale/flat/291967340/;Санкт-Петербург;sale;flat;3;10;2;63.3;12900000;Невский;Народный;;
;https://spb.cian.ru/sale/flat/291346941/;Санкт-Петербург;sale;flat;1;8;2;57.5;10000313;Красносельский;Сосновая поляна;Проспект Ветеранов;Солнечный город
ЦН КВАДРАТ;https://spb.cian.ru/sale/flat/289061262/;Санкт-Петербург;sale;flat;3;3;2;82.4;39990000;Центральный;Миллионная;Невский проспект;
ЛСР. Недвижимость;https://spb.cian.ru/sale/flat/246153062/;Санкт-Петербург;sale;flat;1;14;2;49.3;10007900;Приморский;Коломяги;Проспект Просвещения;Заповедный парк ЖК
Active Group - Арендафон. Штаб Квартир;https://spb.cian.ru/sale/flat/285735794/;Санкт-Петербург;sale;flat;2;6;2;81.2;33900000;Петроградский;Всеволода Вишневского;Петроградская;
Ленстройтрест;https://spb.cian.ru/sale/flat/288171565/;Санкт-Петербург;sale;flat;1;7;2;45.73;10231970;Приморский;Коломяги;Проспект Просвещения;Окла
КВС;https://spb.cian.ru/sale/flat/291427897/;Санкт-Петербург;sale;flat;1;5;2;52.5;6200000;Пушкинский;Пионерская;Купчино;
ЛСР. Недвижимость;https://spb.cian.ru/sale/flat/292691986/;Санкт-Петербург;sale;flat;6;23;2;46.92;10298940;Красносельский;Юго-Запад;Автово;Морская миля ЖК
КВС;https://spb.cian.ru/sale/flat/291626985/;Санкт-Петербург;sale;flat;6;6;2;66.4;10590000;Пушкинский;Малиновская;Звездная;
Группа Эталон;https://spb.cian.ru/sale/flat/288378532/;Санкт-Петербург;sale;flat;4;24;2;55.4;10543595;Приморский;Коломяги;Комендантский проспект;Юбилейный квартал
Sever Group;https://spb.cian.ru/sale/flat/291278272/;Санкт-Петербург;sale;flat;3;5;2;44.1;6699000;Пушкинский;Оранжерейная;Московская;
;https://spb.cian.ru/sale/flat/292788862/;Санкт-Петербург;sale;flat;2;5;2;55.85;10900160;Московский;Струве;Звездная;Зеленый квартал
PRO.Flat;https://spb.cian.ru/sale/flat/288762247/;Санкт-Петербург;sale;flat;18;19;2;62.5;17490000;Адмиралтейский;Парфеновская;Фрунзенская;Квартал Галактика
;https://spb.cian.ru/sale/flat/292992097/;Санкт-Петербург;sale;flat;1;4;2;55.5;10950261;Красносельский;Сосновая поляна;Проспект Ветеранов;Солнечный город. Резиденции
КВС;https://spb.cian.ru/sale/flat/292244955/;Санкт-Петербург;sale;flat;2;4;2;54.08;9300000;Выборгский;Сампсониевское;Выборгская;
;https://spb.cian.ru/sale/flat/291984386/;Санкт-Петербург;sale;flat;1;14;2;55.1;11000136;Приморский;Коломяги;Комендантский проспект;Чистое небо
МетрУМ;https://spb.cian.ru/sale/flat/287663711/;Санкт-Петербург;sale;flat;19;20;2;77.0;15999000;Приморский;Земледельческая;Лесная;Fortis
ЛСР. Недвижимость;https://spb.cian.ru/sale/flat/273227030/;Санкт-Петербург;sale;flat;9;12;2;54.1;11214930;Московский;Звёздное;Звездная;NEOPARK
КВС;https://spb.cian.ru/sale/flat/293004732/;Санкт-Петербург;sale;flat;10;25;2;59.44;12600000;Московский;Гагаринское;Купчино;Квартет
РосСтройИнвест;https://spb.cian.ru/sale/flat/286428925/;Санкт-Петербург;sale;flat;2;17;2;59.51;11359913;Невский;Народный;;Лайнеръ ЖК
МетрУМ;https://spb.cian.ru/sale/flat/292241319/;Санкт-Петербург;sale;flat;3;5;2;71.3;40000000;Курортный;Максима Горького;;Russian seasons
ЛСР. Недвижимость;https://spb.cian.ru/sale/flat/292871146/;Санкт-Петербург;sale;flat;2;17;2;56.09;12367845;Василеостровский;Гавань;Горный институт;Морская Набережная ЖК
МИР КВАРТИР;https://spb.cian.ru/sale/flat/286478516/;Санкт-Петербург;sale;flat;4;8;2;95.0;31490000;Петроградский;Петровский;Спортивная;Familia
ЛСР. Недвижимость;https://spb.cian.ru/sale/flat/272626971/;Санкт-Петербург;sale;flat;2;15;2;56.64;12404160;Василеостровский;Гавань;Горный институт;Морская Набережная ЖК
INFULL;https://spb.cian.ru/sale/flat/292516708/;Санкт-Петербург;sale;flat;6;12;2;57.0;29900000;Петроградский;Ждановская;Спортивная;Леонтьевский мыс
;https://spb.cian.ru/sale/flat/287895549/;Санкт-Петербург;sale;flat;3;15;2;51.04;12550123;Невский;Невский;Улица Дыбенко;Пульс Премьер ЖК
КВС;https://spb.cian.ru/sale/flat/291178763/;Санкт-Петербург;sale;flat;2;4;2;53.6;9500000;Пушкинский;Гусарская;Купчино;
ЛСР. Недвижимость;https://spb.cian.ru/sale/flat/284380846/;Санкт-Петербург;sale;flat;6;12;2;54.1;12551200;Красногвардейский;Партизанская;Новочеркасская;ЛСР. Большая Охта
ID 67243936;https://spb.cian.ru/sale/flat/291609866/;Санкт-Петербург;sale;flat;5;9;2;43.5;6950000;Калининский;Ольги Форш;Гражданский проспект;
ПИК;https://spb.cian.ru/sale/flat/285061559/;Санкт-Петербург;sale;flat;2;14;2;46.1;12645967;Фрунзенский;Волковское;Обводный канал;Витебский Парк ЖК
ЦН КВАДРАТ;https://spb.cian.ru/sale/flat/287667741/;Санкт-Петербург;sale;flat;4;24;2;61.62;11999000;Василеостровский;Морской;Горный институт;Магеллан (Гавань Капитанов)
Группа Аквилон;https://spb.cian.ru/sale/flat/291923950/;Санкт-Петербург;sale;flat;1;13;2;57.11;12706968;Василеостровский;Гавань;Приморская;Аквилон Залив ЖК
PRO.Flat;https://spb.cian.ru/sale/flat/277717818/;Санкт-Петербург;sale;flat;3;15;2;61.17;11699000;Василеостровский;Гавань;Горный институт;Морская набережная
Мегалит–Охта Групп;https://spb.cian.ru/sale/flat/288159476/;Санкт-Петербург;sale;flat;2;25;2;67.65;12929734;Приморский;Комендантский аэродром;Пионерская;Приморский Квартал ЖК
NF GROUP  St Petersburg;https://spb.cian.ru/sale/flat/290332587/;Санкт-Петербург;sale;flat;9;11;2;55.0;19500000;Красногвардейский;Магнитогорская;Новочеркасская;Magnifika Lifestyle
;https://spb.cian.ru/sale/flat/291036786/;Санкт-Петербург;sale;flat;7;12;2;53.85;13050334;Приморский;Коломяги;Озерки;Прайм Приморский ЖК
КВС;https://spb.cian.ru/sale/flat/291466694/;Санкт-Петербург;sale;flat;1;3;2;56.1;7500000;Пушкинский;Железнодорожная;Купчино;
ПИК;https://spb.cian.ru/sale/flat/288160409/;Санкт-Петербург;sale;flat;2;14;2;51.5;13427904;Фрунзенский;Волковское;Обводный канал;Аэронавт ЖК
ЦН КВАДРАТ;https://spb.cian.ru/sale/flat/292768841/;Санкт-Петербург;sale;flat;4;20;2;56.6;15999000;Московский;Парфеновская;Московские ворота;Московские ворота II
