author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
GloraX;https://spb.cian.ru/sale/flat/290624336/;Санкт-Петербург;sale;flat;3;15;2;79.85;16449999;Красногвардейский;Малая Охта;Ладожская;Глоракс Заневский ЖК
BE HOME;https://spb.cian.ru/sale/flat/292268145/;Санкт-Петербург;sale;flat;2;3;2;71.3;24000000;Приморский;Новая;Беговая;Квартал Лахта Парк
RBI;https://spb.cian.ru/sale/flat/268565412/;Санкт-Петербург;sale;flat;2;4;2;82.1;30101865;Адмиралтейский;12-я Красноармейская;Балтийская;Созидатели
ID 25426337;https://spb.cian.ru/sale/flat/292761463/;Санкт-Петербург;sale;flat;4;4;2;47.9;23121786;Центральный;Харьковская;Площадь Восстания;
RBI;https://spb.cian.ru/sale/flat/292427808/;Санкт-Петербург;sale;flat;3;9;2;79.5;27965532;Центральный;Лиговка-Ямская;Площадь Восстания;Миръ
Ринкон;https://spb.cian.ru/sale/flat/292466172/;Санкт-Петербург;sale;flat;4;13;2;62.4;16450000;Выборгский;Лиственная;Озерки;Листва
RBI;https://spb.cian.ru/sale/flat/262571736/;Санкт-Петербург;sale;flat;6;9;2;78.4;46000000;Петроградский;Барочная;Чкаловская;Futurist
BE HOME;https://spb.cian.ru/sale/flat/288819293/;Санкт-Петербург;sale;flat;3;8;2;58.5;18000000;Центральный;Херсонская;Площадь Александра Невского;Апарт-отель Yard Residence
Группа Эталон;https://spb.cian.ru/sale/flat/285018866/;Санкт-Петербург;sale;flat;12;12;2;58.0;9041027;Пушкинский;;Звездная;Монография ЖК
Роман Корякин;https://spb.cian.ru/sale/flat/291058944/;Санкт-Петербург;sale;flat;15;18;2;51.03;12890000;Фрунзенский;Салова;Бухарестская;Комплекс апарт-отелей Valo Hotel City
AAG;https://spb.cian.ru/sale/flat/276667406/;Санкт-Петербург;sale;flat;3;9;2;80.53;21897810;Красногвардейский;Помяловского;Новочеркасская;Akzent
ХочуКвартиру;https://spb.cian.ru/sale/flat/285283374/;Санкт-Петербург;sale;flat;8;14;2;55.2;12500000;Красногвардейский;Апрельская;Площадь Ленина;
AAG;https://spb.cian.ru/sale/flat/290299109/;Санкт-Петербург;sale;flat;11;12;2;89.4;36839952;Красногвардейский;Большая Охта;Новочеркасская;Alter
Мир квартир элит Крестовский;https://spb.cian.ru/sale/flat/286808509/;Санкт-Петербург;sale;flat;1;5;2;54.0;15400000;Петроградский;Съезжинская;Спортивная;
GloraX;https://spb.cian.ru/sale/flat/279507580/;Санкт-Петербург;sale;flat;7;19;2;60.55;15759999;Василеостровский;Морской;Зенит;Глоракс Премиум Василеостровский ЖК
Мосфинансхолдинг;https://spb.cian.ru/sale/flat/289389003/;Санкт-Петербург;sale;flat;1;5;2;42.6;6990000;Приморский;Школьная;Черная речка;
AAG;https://spb.cian.ru/sale/flat/292860580/;Санкт-Петербург;sale;flat;3;7;2;89.07;31797990;Василеостровский;Васильевский;Василеостровская;Amo
КВС;https://spb.cian.ru/sale/flat/292610158/;Санкт-Петербург;sale;flat;22;25;2;63.2;15500000;Калининский;Пискарёвка;Лесная;Калина-Парк II
AAG;https://spb.cian.ru/sale/flat/291921028/;Санкт-Петербург;sale;flat;4;7;2;70.1;32163002;Василеостровский;20-я Васильевского острова линия;Горный институт;Маленькая Франция
КВС;https://spb.cian.ru/sale/flat/292983905/;Санкт-Петербург;sale;flat;2;5;2;72.2;17000000;Пушкинский;переулок Колокольный;Купчино;ЦДС Золотой век
Группа Эталон;https://spb.cian.ru/sale/flat/283802275/;Санкт-Петербург;sale;flat;9;9;2;85.0;37371416;Петроградский;Петровский;Крестовский остров;Петровская Доминанта
