author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
Этажи Санкт-Петербург;https://spb.cian.ru/sale/flat/289042906/;Санкт-Петербург;sale;flat;5;5;3;80.0;11200000;Кировский;Краснопутиловская;Автово;
Владис Центральный;https://spb.cian.ru/sale/flat/291808403/;Санкт-Петербург;sale;flat;4;7;5;118.0;18000000;Кировский;Автово;Кировский завод;
Владис Северо-Запад;https://spb.cian.ru/sale/flat/291694633/;Санкт-Петербург;sale;flat;4;5;2;52.6;10900000;Кировский;Маршала Говорова;Кировский завод;
Владис Центральный;https://spb.cian.ru/sale/flat/292942118/;Санкт-Петербург;sale;flat;5;5;2;43.0;7900000;Кировский;Автовская;Кировский завод;
Этажи Санкт-Петербург;https://spb.cian.ru/sale/flat/292166045/;Санкт-Петербург;sale;flat;13;14;-1;20.4;5990000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
Владис Центральный;https://spb.cian.ru/sale/flat/288720484/;Санкт-Петербург;sale;flat;2;8;3;81.7;17600000;Кировский;Краснопутиловская;Автово;
ТРЕНД;https://spb.cian.ru/sale/flat/290671419/;Санкт-Петербург;sale;flat;4;13;-1;22.4;5550000;Кировский;Автово;Автово;
Владис Аврора;https://spb.cian.ru/sale/flat/285654527/;Санкт-Петербург;sale;flat;5;14;-1;20.5;4950000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
Этажи Санкт-Петербург;https://spb.cian.ru/sale/flat/290512662/;Санкт-Петербург;sale;flat;5;14;-1;20.5;4950000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
ТРЕНД;https://spb.cian.ru/sale/flat/290654743/;Санкт-Петербург;sale;flat;5;14;-1;20.5;4950000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
Владис Северо-Запад;https://spb.cian.ru/sale/flat/291778611/;Санкт-Петербург;sale;flat;3;14;-1;20.2;5500000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
Владис Северо-Запад;https://spb.cian.ru/sale/flat/290277287/;Санкт-Петербург;sale;flat;4;13;-1;22.0;5550000;Кировский;Автово;Автово;
Наталья Василевская;https://spb.cian.ru/sale/flat/292675146/;Санкт-Петербург;sale;flat;4;5;1;32.0;7800000;Кировский;Васи Алексеева;Кировский завод;
АДРЕС ПЛЮС;https://spb.cian.ru/sale/flat/289681880/;Санкт-Петербург;sale;flat;3;5;2;54.1;9490000;Кировский;Автовская;Автово;
CityRealty;https://spb.cian.ru/sale/flat/292689044/;Санкт-Петербург;sale;flat;3;5;2;42.1;6980000;Кировский;Автовская;Кировский завод;
МАКРОМИР НЕДВИЖИМОСТЬ;https://spb.cian.ru/sale/flat/292754333/;Санкт-Петербург;sale;flat;5;20;2;61.5;13990000;Кировский;Кронштадтская;Автово;
Итака;https://spb.cian.ru/sale/flat/288534912/;Санкт-Петербург;sale;flat;1;8;1;28.0;4580000;Кировский;Червонного Казачества;Автово;
Александра Грешилова;https://spb.cian.ru/sale/flat/292267248/;Санкт-Петербург;sale;flat;2;9;2;41.1;7900000;Кировский;Маршала Говорова;Кировский завод;
Елисеевский квартал;https://spb.cian.ru/sale/flat/293041514/;Санкт-Петербург;sale;flat;4;5;3;56.5;9500000;Кировский;Зайцева;Кировский завод;
АТЛАНТА;https://spb.cian.ru/sale/flat/287292752/;Санкт-Петербург;sale;flat;2;7;2;52.9;10500000;Кировский;Автово;Автово;
РУСКОЛ;https://spb.cian.ru/sale/flat/292498644/;Санкт-Петербург;sale;flat;7;10;3;59.1;7950000;Кировский;Маршала Говорова;Кировский завод;
ПетербургНедвижимость;https://spb.cian.ru/sale/flat/279645163/;Санкт-Петербург;sale;flat;6;6;2;69.1;11500000;Кировский;Автово;Автово;
ЦАН - Центральное Агентство Недвижимости;https://spb.cian.ru/sale/flat/291480838/;Санкт-Петербург;sale;flat;6;8;2;41.8;5700000;Кировский;Червонного Казачества;Автово;
Адвекс;https://spb.cian.ru/sale/flat/289985359/;Санкт-Петербург;sale;flat;5;8;2;42.0;6200000;Кировский;Червонного Казачества;Автово;
Будь первым;https://spb.cian.ru/sale/flat/292715483/;Санкт-Петербург;sale;flat;4;5;1;31.0;6000000;Кировский;Автовская;Кировский завод;
Адвекс;https://spb.cian.ru/sale/flat/285100895/;Санкт-Петербург;sale;flat;4;8;2;47.0;8100000;Кировский;Маршала Говорова;Кировский завод;
ПетербургЪ Недвижимость;https://spb.cian.ru/sale/flat/293002329/;Санкт-Петербург;sale;flat;2;5;2;57.1;10100000;Кировский;Новостроек;Кировский завод;
Ваш Риэлтор;https://spb.cian.ru/sale/flat/292631780/;Санкт-Петербург;sale;flat;1;5;2;48.4;8800000;Кировский;Автово;Автово;
Этажи Санкт-Петербург;https://spb.cian.ru/sale/flat/292213293/;Санкт-Петербург;sale;flat;3;9;1;28.9;6390000;Кировский;Маршала Говорова;Кировский завод;
ДомИн;https://spb.cian.ru/sale/flat/292107026/;Санкт-Петербург;sale;flat;5;5;2;42.0;7200000;Кировский;Краснопутиловская;Автово;
Панорама;https://spb.cian.ru/sale/flat/292716607/;Санкт-Петербург;sale;flat;8;10;3;92.3;14200000;Кировский;Автово;Автово;
Будь первым;https://spb.cian.ru/sale/flat/283445431/;Санкт-Петербург;sale;flat;3;5;3;56.6;9700000;Кировский;Краснопутиловская;Автово;
ЦАН - Центральное Агентство Недвижимости;https://spb.cian.ru/sale/flat/292268042/;Санкт-Петербург;sale;flat;2;5;2;52.5;9750000;Кировский;Зайцева;Кировский завод;
Панорама;https://spb.cian.ru/sale/flat/283050614/;Санкт-Петербург;sale;flat;3;5;2;53.7;10500000;Кировский;Маринеско;Автово;
Русский Фонд Недвижимости;https://spb.cian.ru/sale/flat/285624270/;Санкт-Петербург;sale;flat;3;6;4;48.4;7190000;Кировский;Краснопутиловская;Автово;
ТРЕНД;https://spb.cian.ru/sale/flat/292575798/;Санкт-Петербург;sale;flat;7;7;2;55.9;9990000;Кировский;Автово;Кировский завод;
ПРОСПЕКТ;https://spb.cian.ru/sale/flat/276598549/;Санкт-Петербург;sale;flat;1;7;2;69.0;10800000;Кировский;Автово;Кировский завод;
БЮРО НЕДВИЖИМОСТИ No1;https://spb.cian.ru/sale/flat/292325860/;Санкт-Петербург;sale;flat;6;6;2;41.8;7550000;Кировский;Автовская;Автово;
Адвекс;https://spb.cian.ru/sale/flat/278730483/;Санкт-Петербург;sale;flat;5;7;3;71.4;12100000;Кировский;Автово;Автово;
Никита Лабецкий;https://spb.cian.ru/sale/flat/289702643/;Санкт-Петербург;sale;flat;5;22;1;28.9;6099999;Кировский;Кронштадтская;Автово;
Недвижимость Двух Столиц;https://spb.cian.ru/sale/flat/287071007/;Санкт-Петербург;sale;flat;3;5;3;84.9;14600000;Кировский;Зайцева;Автово;
Номер 1;https://spb.cian.ru/sale/flat/291339432/;Санкт-Петербург;sale;flat;4;5;3;55.0;7400000;Кировский;Новостроек;Автово;
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;https://spb.cian.ru/sale/flat/292289182/;Санкт-Петербург;sale;flat;1;5;1;16.0;3800000;Кировский;Маринеско;Автово;
Этажи Санкт-Петербург;https://spb.cian.ru/sale/flat/291976495/;Санкт-Петербург;sale;flat;2;5;1;43.5;7600000;Кировский;Маршала Говорова;Кировский завод;
Адвекс;https://spb.cian.ru/sale/flat/285468374/;Санкт-Петербург;sale;flat;2;9;3;56.5;8300000;Кировский;Маршала Говорова;Кировский завод;
Студия 78;https://spb.cian.ru/sale/flat/281834605/;Санкт-Петербург;sale;flat;1;5;1;43.5;6550000;Кировский;Возрождения;Кировский завод;
Будь первым;https://spb.cian.ru/sale/flat/284803170/;Санкт-Петербург;sale;flat;2;5;3;80.1;11750000;Кировский;Кронштадтская;Автово;
Адвекс;https://spb.cian.ru/sale/flat/284484771/;Санкт-Петербург;sale;flat;4;5;3;86.6;14990000;Кировский;Маринеско;Автово;
СТАТУС;https://spb.cian.ru/sale/flat/283576910/;Санкт-Петербург;sale;flat;5;12;1;34.3;6200000;Кировский;Автово;Автово;
Экотон;https://spb.cian.ru/sale/flat/289554162/;Санкт-Петербург;sale;flat;6;8;3;75.0;12950000;Кировский;Краснопутиловская;Автово;
Городское агентство недвижимости;https://spb.cian.ru/sale/flat/291520283/;Санкт-Петербург;sale;flat;4;5;2;56.3;10200000;Кировский;Новостроек;Автово;
Владис Аврора;https://spb.cian.ru/sale/flat/272265679/;Санкт-Петербург;sale;flat;5;5;3;41.1;7200000;Кировский;Червонного Казачества;Автово;
Адвекс;https://spb.cian.ru/sale/flat/291274079/;Санкт-Петербург;sale;flat;1;5;2;60.4;11900000;Кировский;Маринеско;Автово;
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;https://spb.cian.ru/sale/flat/292198613/;Санкт-Петербург;sale;flat;2;5;3;77.9;12300000;Кировский;Краснопутиловская;Автово;
Будь первым;https://spb.cian.ru/sale/flat/287746152/;Санкт-Петербург;sale;flat;2;5;2;55.5;10700000;Кировский;Маршала Говорова;Кировский завод;
Адвекс;https://spb.cian.ru/sale/flat/290776005/;Санкт-Петербург;sale;flat;7;7;2;53.6;10500000;Кировский;Автово;Автово;
ПетербургНедвижимость;https://spb.cian.ru/sale/flat/291982925/;Санкт-Петербург;sale;flat;6;6;2;69.1;12000000;Кировский;Автово;Автово;
Никита Лабецкий;https://spb.cian.ru/sale/flat/287888448/;Санкт-Петербург;sale;flat;4;5;3;81.2;16149999;Кировский;Краснопутиловская;Автово;
FisherGroup;https://spb.cian.ru/sale/flat/292580279/;Санкт-Петербург;sale;flat;1;5;1;39.4;7200000;Кировский;Васи Алексеева;Кировский завод;
Сити-Недвижимость;https://spb.cian.ru/sale/flat/277114312/;Санкт-Петербург;sale;flat;5;5;3;80.0;11200000;Кировский;Краснопутиловская;Автово;
СТАТУС;https://spb.cian.ru/sale/flat/287383138/;Санкт-Петербург;sale;flat;5;12;1;34.55;7000000;Кировский;Автово;Автово;
МАКРОМИР НЕДВИЖИМОСТЬ;https://spb.cian.ru/sale/flat/292145856/;Санкт-Петербург;sale;flat;3;5;2;77.8;14200000;Кировский;Зайцева;Кировский завод;
Адвекс;https://spb.cian.ru/sale/flat/292539315/;Санкт-Петербург;sale;flat;5;5;3;82.4;15000000;Кировский;Маршала Говорова;Кировский завод;
ИП Лайкова И.Н.;https://spb.cian.ru/sale/flat/259792188/;Санкт-Петербург;sale;flat;2;5;3;41.1;7500000;Кировский;Краснопутиловская;Автово;
АЛЕФ-недвижимость;https://spb.cian.ru/sale/flat/282980960/;Санкт-Петербург;sale;flat;7;10;3;89.7;14700000;Кировский;Автово;Кировский завод;
Эксклюзив;https://spb.cian.ru/sale/flat/292137486/;Санкт-Петербург;sale;flat;3;5;3;41.7;8299999;Кировский;Червонного Казачества;Автово;
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;https://spb.cian.ru/sale/flat/285751672/;Санкт-Петербург;sale;flat;5;5;3;70.0;14200000;Кировский;Маринеско;Автово;
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;https://spb.cian.ru/sale/flat/291414347/;Санкт-Петербург;sale;flat;5;6;3;109.5;21000000;Кировский;Краснопутиловская;Автово;
Адресат;https://spb.cian.ru/sale/flat/291111294/;Санкт-Петербург;sale;flat;1;6;5;140.0;16800000;Кировский;Зенитчиков;;
ТРЕНД;https://spb.cian.ru/sale/flat/291923493/;Санкт-Петербург;sale;flat;1;5;2;56.6;9499000;Кировский;Автово;Автово;
Василий Костров;https://spb.cian.ru/sale/flat/272132522/;Санкт-Петербург;sale;flat;1;5;2;56.3;8900000;Кировский;Зайцева;Кировский завод;
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;https://spb.cian.ru/sale/flat/291763569/;Санкт-Петербург;sale;flat;1;5;3;81.6;11000000;Кировский;Новостроек;Кировский завод;
House Estate;https://spb.cian.ru/sale/flat/291054248/;Санкт-Петербург;sale;flat;14;14;-1;19.5;4690000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
Адвекс;https://spb.cian.ru/sale/flat/281389356/;Санкт-Петербург;sale;flat;6;6;3;84.8;16900000;Кировский;Зайцева;Автово;
Итака;https://spb.cian.ru/sale/flat/291623883/;Санкт-Петербург;sale;flat;6;10;3;76.6;14700000;Кировский;Автовская;Автово;
Квартиры СПБ;https://spb.cian.ru/sale/flat/269288952/;Санкт-Петербург;sale;flat;3;9;3;57.0;11000000;Кировский;Маршала Говорова;Кировский завод;
ЖИЛФОНД Санкт-Петербург;https://spb.cian.ru/sale/flat/275519834/;Санкт-Петербург;sale;flat;2;6;4;91.8;16300000;Кировский;Автово;Автово;
ЛЕНЖИЛСТРОЙ недвижимость;https://spb.cian.ru/sale/flat/292640296/;Санкт-Петербург;sale;flat;2;5;4;89.6;16500000;Кировский;Новостроек;Автово;
Адвекс;https://spb.cian.ru/sale/flat/274207394/;Санкт-Петербург;sale;flat;1;10;3;86.47;12600000;Кировский;Автово;;
Никита Лабецкий;https://spb.cian.ru/sale/flat/290596410/;Санкт-Петербург;sale;flat;7;7;3;77.7;14499999;Кировский;Кронштадтская;Автово;
АДРЕС ЭСТЕЙТ;https://spb.cian.ru/sale/flat/284580200/;Санкт-Петербург;sale;flat;4;5;3;79.0;14900000;Кировский;Краснопутиловская;Автово;
Недвижка Маркет;https://spb.cian.ru/sale/flat/284942573/;Санкт-Петербург;sale;flat;2;7;2;55.6;11000000;Кировский;Автово;Автово;
Колвэй;https://spb.cian.ru/sale/flat/286764204/;Санкт-Петербург;sale;flat;6;7;3;77.0;13300000;Кировский;Автово;Автово;
Петербургская Недвижимость;https://spb.cian.ru/sale/flat/292750412/;Санкт-Петербург;sale;flat;12;14;-1;20.75;5300000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
Никита Лабецкий;https://spb.cian.ru/sale/flat/292473106/;Санкт-Петербург;sale;flat;5;5;3;80.0;14799999;Кировский;Краснопутиловская;Автово;
Никита Лабецкий;https://spb.cian.ru/sale/flat/292164311/;Санкт-Петербург;sale;flat;2;5;3;69.7;14699999;Кировский;Маршала Говорова;Кировский завод;
